cust_id,city,date,total_value
339,Dubai,2025-10-31,49.32
279,Dubai,2025-10-31,20.92
224,Dubai,2025-10-31,250.68
418,Dubai,2025-10-31,134.7
218,Dubai,2025-10-31,240.85
75,Dubai,2025-10-31,90.14
441,Dubai,2025-10-31,29.26
466,Dubai,2025-10-31,26.74
627,Dubai,2025-10-31,2.84
23,Dubai,2025-10-31,55.32
360,Dubai,2025-10-31,106.89
396,Dubai,2025-10-31,34.42
568,Dubai,2025-10-31,481.7
680,Dubai,2025-10-31,43.94
213,Dubai,2025-10-31,14.98
475,Dubai,2025-10-31,29.94
29,Dubai,2025-10-31,40.76
705,Dubai,2025-10-31,32.86
117,Dubai,2025-10-31,15.16
643,Dubai,2025-10-31,35.16
