date,store_id,sku_id,customer_id,quantity,unit_price,total_value,channel,discount_pct
2024-04-12,39,1035,2290.0,6,245.38,1472.28,MobileApp,0.0
2022-08-06,18,1035,3116.0,6,245.38,1472.28,MobileApp,0.0
2022-07-03,14,1035,2446.0,6,245.38,1472.28,MobileApp,0.0
2023-02-26,38,1035,2086.0,6,245.38,1472.28,MobileApp,0.0
2024-01-18,24,1035,,6,245.38,1472.28,MobileApp,0.0
2023-01-22,33,1035,2342.0,6,245.38,1472.28,MobileApp,0.0
2021-07-30,42,1035,,6,245.38,1472.28,MobileApp,0.0
2023-07-14,25,1035,1002.0,6,245.38,1472.28,MobileApp,0.0
2023-08-06,40,1035,1990.0,6,245.38,1472.28,MobileApp,0.0
2021-08-14,21,1035,3090.0,6,245.38,1472.28,MobileApp,0.0
2024-02-27,32,1035,,6,245.38,1472.28,MobileApp,0.0
2024-03-18,12,1035,2279.0,6,245.38,1472.28,MobileApp,0.0
2023-02-08,49,1035,3857.0,6,245.38,1472.28,MobileApp,0.0
2021-01-05,10,1035,1118.0,6,245.38,1472.28,MobileApp,0.0
2025-01-02,29,1035,,6,245.38,1472.28,MobileApp,0.0
2024-07-25,39,1035,,6,245.38,1472.28,MobileApp,0.0
2021-07-23,43,1035,1581.0,6,245.38,1472.28,MobileApp,0.0
2022-07-24,27,1035,2515.0,6,245.38,1472.28,MobileApp,0.0
2024-03-17,33,1035,3465.0,6,245.38,1472.28,MobileApp,0.0
2022-04-27,43,1035,1247.0,6,245.38,1472.28,MobileApp,0.0
