date,store_name,total_value
2021-01-01,BlueMart Store 26,20.08
2021-01-01,BlueMart Store 19,625.71
2021-01-01,BlueMart Store 38,17.99
2021-01-01,BlueMart Store 03,1177.44
2021-01-01,BlueMart Store 02,7.98
2021-01-01,BlueMart Store 25,42.13
2021-01-01,BlueMart Store 02,59.79
2021-01-01,BlueMart Store 38,74.7
2021-01-01,BlueMart Store 28,95.64
2021-01-01,BlueMart Store 37,898.65
2021-01-01,BlueMart Store 13,76.06
2021-01-01,BlueMart Store 25,69.48
2021-01-01,BlueMart Store 09,11.79
2021-01-01,BlueMart Store 15,1204.25
2021-01-01,BlueMart Store 11,30.9
2021-01-01,BlueMart Store 32,100.98
2021-01-01,BlueMart Store 24,53.27
2021-01-01,BlueMart Store 24,179.25
2021-01-01,BlueMart Store 46,66.84
2021-01-01,BlueMart Store 43,51.7
2021-01-01,BlueMart Store 22,21.42
2021-01-01,BlueMart Store 46,181.74
2021-01-01,BlueMart Store 32,919.56
2021-01-01,BlueMart Store 03,58.25
2021-01-01,BlueMart Store 49,32.44
2021-01-01,BlueMart Store 25,53.27
2021-01-01,BlueMart Store 23,176.08
2021-01-01,BlueMart Store 46,390.82
2021-01-01,BlueMart Store 11,20.56
2021-01-01,BlueMart Store 41,363.8
2021-01-01,BlueMart Store 43,332.0
2021-01-01,BlueMart Store 44,85.2
2021-01-01,BlueMart Store 17,28.36
2021-01-01,BlueMart Store 09,240.06
2021-01-01,BlueMart Store 24,84.39
2021-01-01,BlueMart Store 47,500.4
2021-01-01,BlueMart Store 21,34.2
2021-01-01,BlueMart Store 41,22.64
2021-01-01,BlueMart Store 22,153.24
2021-01-01,BlueMart Store 06,98.92
2021-01-01,BlueMart Store 02,39.28
2021-01-01,BlueMart Store 01,35.56
2021-01-01,BlueMart Store 33,58.95
2021-01-01,BlueMart Store 27,51.75
2021-01-01,BlueMart Store 09,50.58
2021-01-01,BlueMart Store 20,63.36
2021-01-01,BlueMart Store 03,51.9
2021-01-01,BlueMart Store 45,88.68
2021-01-01,BlueMart Store 21,96.3
2021-01-01,BlueMart Store 12,47.2
2021-01-01,BlueMart Store 31,54.3
2021-01-01,BlueMart Store 14,100.44
2021-01-01,BlueMart Store 07,7.23
2021-01-01,BlueMart Store 29,9.94
2021-01-01,BlueMart Store 07,171.68
2021-01-01,BlueMart Store 05,586.23
2021-01-01,BlueMart Store 18,23.5
2021-01-01,BlueMart Store 12,142.7
2021-01-01,BlueMart Store 37,58.35
2021-01-01,BlueMart Store 01,97.68
2021-01-01,BlueMart Store 11,132.45
2021-01-01,BlueMart Store 21,5.14
2021-01-01,BlueMart Store 21,10.68
2021-01-01,BlueMart Store 44,157.36
2021-01-01,BlueMart Store 34,447.4
2021-01-01,BlueMart Store 10,17.78
2021-01-01,BlueMart Store 33,99.12
2021-01-01,BlueMart Store 49,588.72
2021-01-01,BlueMart Store 12,109.62
2021-01-01,BlueMart Store 13,100.26
2021-01-01,BlueMart Store 42,95.78
2021-01-01,BlueMart Store 43,67.32
2021-01-01,BlueMart Store 13,51.9
2021-01-01,BlueMart Store 16,37.45
2021-01-01,BlueMart Store 38,323.32
2021-01-01,BlueMart Store 31,63.69
2021-01-01,BlueMart Store 03,14.63
2021-01-01,BlueMart Store 15,15.27
2021-01-01,BlueMart Store 05,169.24
2021-01-01,BlueMart Store 04,168.18
2021-01-01,BlueMart Store 28,61.2
2021-01-01,BlueMart Store 48,136.65
2021-01-01,BlueMart Store 01,32.56
2021-01-01,BlueMart Store 10,46.6
2021-01-01,BlueMart Store 44,55.8
2021-01-01,BlueMart Store 25,23.2
2021-01-01,BlueMart Store 34,14.18
2021-01-01,BlueMart Store 30,714.78
2021-01-01,BlueMart Store 35,134.52
2021-01-01,BlueMart Store 28,180.35
2021-01-01,BlueMart Store 25,75.8
2021-01-01,BlueMart Store 19,183.4
2021-01-01,BlueMart Store 35,18.84
2021-01-01,BlueMart Store 01,321.44
2021-01-01,BlueMart Store 27,55.56
2021-01-01,BlueMart Store 38,228.18
2021-01-01,BlueMart Store 43,131.56
2021-01-01,BlueMart Store 33,2.22
2021-01-01,BlueMart Store 17,29.4
2021-01-01,BlueMart Store 46,97.89
2021-01-01,BlueMart Store 36,8.4
2021-01-01,BlueMart Store 07,80.91
2021-01-01,BlueMart Store 24,9.9
2021-01-01,BlueMart Store 36,67.26
2021-01-01,BlueMart Store 34,19.97
2021-01-01,BlueMart Store 21,69.28
2021-01-01,BlueMart Store 02,81.3
2021-01-01,BlueMart Store 22,154.65
2021-01-01,BlueMart Store 10,49.02
2021-01-01,BlueMart Store 20,440.0
2021-01-01,BlueMart Store 33,174.57
2021-01-01,BlueMart Store 04,49.02
2021-01-01,BlueMart Store 08,310.59
2021-01-01,BlueMart Store 40,339.87
2021-01-01,BlueMart Store 44,285.85
2021-01-01,BlueMart Store 42,303.56
2021-01-01,BlueMart Store 32,35.1
2021-01-01,BlueMart Store 01,115.3
2021-01-01,BlueMart Store 12,99.12
2021-01-01,BlueMart Store 23,8.38
2021-01-01,BlueMart Store 20,61.29
2021-01-01,BlueMart Store 11,17.31
2021-01-01,BlueMart Store 04,71.02
2021-01-01,BlueMart Store 05,269.04
2021-01-01,BlueMart Store 28,259.12
2021-01-01,BlueMart Store 49,53.16
2021-01-01,BlueMart Store 14,337.56
2021-01-01,BlueMart Store 10,161.82
2021-01-01,BlueMart Store 17,242.49
2021-01-01,BlueMart Store 20,357.14
2021-01-01,BlueMart Store 46,185.76
2021-01-01,BlueMart Store 30,625.71
2021-01-01,BlueMart Store 22,58.8
2021-01-01,BlueMart Store 08,73.64
2021-01-01,BlueMart Store 43,210.78
2021-01-01,BlueMart Store 20,390.6
2021-01-01,BlueMart Store 03,46.95
2021-01-01,BlueMart Store 18,43.08
2021-01-01,BlueMart Store 45,42.36
2021-01-01,BlueMart Store 10,42.06
2021-01-01,BlueMart Store 36,39.87
2021-01-01,BlueMart Store 33,35.26
