sku_id,sku_name,total_value
1088,Household_Cleaning Supplies_1088,17.99
1164,Electronics_Cables_1164,1177.44
1135,Household_Trash Bags_1135,100.98
1140,Personal Care_Shampoo_1140,179.25
1023,Personal Care_Toothpaste_1023,51.7
1180,Grocery_Spices_1180,21.42
1074,Personal Care_Skincare_1074,53.27
1149,Electronics_Chargers_1149,176.08
1116,Personal Care_Skincare_1116,332.0
1085,Personal Care_Skincare_1085,22.64
1146,Snacks_Chocolates_1146,51.75
1130,Snacks_Nuts_1130,50.58
1104,Grocery_Pasta_1104,63.36
1096,Electronics_Mobile Accessories_1096,96.3
1094,Grocery_Rice_1094,23.5
1027,Snacks_Chips_1027,5.14
1111,Snacks_Nuts_1111,10.68
1095,Snacks_Chocolates_1095,17.78
1108,Dairy_Butter_1108,100.26
1084,Household_Paper Products_1084,95.78
1200,Beverages_Juices_1200,37.45
1059,Electronics_Cables_1059,63.69
1031,Snacks_Chips_1031,15.27
1089,Electronics_Mobile Accessories_1089,168.18
1069,Grocery_Spices_1069,32.56
1029,Grocery_Canned Goods_1029,55.8
1152,Personal Care_Toothpaste_1152,183.4
1036,Electronics_Mobile Accessories_1036,228.18
1165,Personal Care_Skincare_1165,29.4
1191,Dairy_Butter_1191,9.9
1021,Grocery_Canned Goods_1021,49.02
1041,Snacks_Nuts_1041,35.1
1054,Snacks_Chips_1054,8.38
1011,Personal Care_Shampoo_1011,17.31
1038,Electronics_Cables_1038,337.56
1152,Personal Care_Toothpaste_1152,161.82
1120,Grocery_Cereals_1120,185.76
1110,Grocery_Canned Goods_1110,46.95
1182,Beverages_Tea_1182,42.06
1132,Dairy_Butter_1132,34.78
1191,Dairy_Butter_1191,42.1
1103,Dairy_Milk_1103,115.17
1039,Beverages_Soft Drinks_1039,25.91
1176,Snacks_Chocolates_1176,13.66
1080,Snacks_Chips_1080,66.75
1009,Electronics_Batteries_1009,386.55
1188,Grocery_Spices_1188,103.92
1154,Household_Cleaning Supplies_1154,67.55
1118,Dairy_Milk_1118,60.42
1043,Electronics_Batteries_1043,93.8
1088,Household_Cleaning Supplies_1088,71.96
1166,Grocery_Spices_1166,209.6
1038,Electronics_Cables_1038,595.68
1111,Snacks_Nuts_1111,37.68
1010,Grocery_Rice_1010,41.91
1125,Personal Care_Toothpaste_1125,45.84
1158,Snacks_Crackers_1158,30.9
1194,Dairy_Butter_1194,57.78
1064,Snacks_Biscuits_1064,60.12
1148,Household_Cleaning Supplies_1148,91.14
1101,Snacks_Crackers_1101,84.72
1200,Beverages_Juices_1200,19.11
1048,Snacks_Biscuits_1048,35.37
1138,Household_Cleaning Supplies_1138,92.56
1044,Snacks_Biscuits_1044,37.04
1050,Snacks_Chips_1050,53.52
1183,Electronics_Batteries_1183,133.79
1072,Electronics_Chargers_1072,405.04
1116,Personal Care_Skincare_1116,234.36
1149,Electronics_Chargers_1149,517.9
1057,Beverages_Tea_1057,22.9
1110,Grocery_Canned Goods_1110,55.23
