cust_id,city,total_value
2,Abu Dhabi,57.32
2,Abu Dhabi,67.77
2,Abu Dhabi,10.5
2,Abu Dhabi,16.38
2,Abu Dhabi,47.88
2,Abu Dhabi,13.37
2,Abu Dhabi,6.83
2,Abu Dhabi,38.39
2,Abu Dhabi,48.0
2,Abu Dhabi,20.92
2,Abu Dhabi,180.28
2,Abu Dhabi,66.12
2,Abu Dhabi,86.49
2,Abu Dhabi,63.78
2,Abu Dhabi,31.28
2,Abu Dhabi,53.04
2,Abu Dhabi,27.13
2,Abu Dhabi,34.78
2,Abu Dhabi,65.37
2,Abu Dhabi,116.38
2,Abu Dhabi,21.96
2,Abu Dhabi,53.16
2,Abu Dhabi,21.96
2,Abu Dhabi,22.85
2,Abu Dhabi,88.3
2,Abu Dhabi,1078.38
2,Abu Dhabi,143.4
2,Abu Dhabi,71.35
2,Abu Dhabi,12.6
2,Abu Dhabi,45.84
2,Abu Dhabi,77.1
2,Abu Dhabi,37.87
2,Abu Dhabi,10.98
2,Abu Dhabi,32.86
2,Abu Dhabi,55.52
2,Abu Dhabi,178.57
2,Abu Dhabi,42.19
2,Abu Dhabi,36.54
2,Abu Dhabi,65.91
2,Abu Dhabi,13.55
2,Abu Dhabi,49.17
2,Abu Dhabi,63.69
2,Abu Dhabi,53.1
2,Abu Dhabi,129.84
2,Abu Dhabi,480.81
2,Abu Dhabi,611.76
2,Abu Dhabi,7.6
2,Abu Dhabi,133.79
2,Abu Dhabi,26.63
2,Abu Dhabi,28.19
2,Abu Dhabi,428.19
2,Abu Dhabi,152.84
2,Abu Dhabi,19.64
2,Abu Dhabi,19.93
2,Abu Dhabi,29.82
2,Abu Dhabi,15.64
2,Abu Dhabi,111.6
2,Abu Dhabi,143.78
2,Abu Dhabi,66.36
2,Abu Dhabi,12.3
2,Abu Dhabi,532.56
2,Abu Dhabi,13.76
2,Abu Dhabi,60.24
2,Abu Dhabi,41.19
2,Abu Dhabi,142.46
2,Abu Dhabi,4.18
2,Abu Dhabi,677.82
2,Abu Dhabi,31.78
2,Abu Dhabi,26.94
2,Abu Dhabi,42.32
2,Abu Dhabi,89.82
2,Abu Dhabi,43.26
2,Abu Dhabi,220.64
2,Abu Dhabi,39.6
2,Abu Dhabi,72.78
2,Abu Dhabi,107.64
2,Abu Dhabi,18.27
2,Abu Dhabi,83.68
2,Abu Dhabi,76.48
2,Abu Dhabi,25.12
2,Abu Dhabi,49.84
2,Abu Dhabi,89.32
2,Abu Dhabi,65.56
2,Abu Dhabi,32.44
2,Abu Dhabi,178.08
2,Abu Dhabi,133.98
2,Abu Dhabi,259.0
2,Abu Dhabi,98.85
2,Abu Dhabi,178.64
2,Abu Dhabi,53.16
2,Abu Dhabi,62.6
2,Abu Dhabi,22.84
2,Abu Dhabi,88.9
2,Abu Dhabi,110.2
2,Abu Dhabi,52.74
2,Abu Dhabi,72.6
2,Abu Dhabi,92.56
2,Abu Dhabi,5.2
2,Abu Dhabi,45.48
2,Abu Dhabi,181.9
2,Abu Dhabi,25.24
2,Abu Dhabi,23.47
