category,city,units_sold
Electronics,Dubai,5555.0
Snacks,Dubai,5143.0
Household,Dubai,4012.0
Grocery,Dubai,3293.0
Dairy,Dubai,3217.0
Personal Care,Dubai,2902.0
Electronics,Abu Dhabi,2649.0
Snacks,Abu Dhabi,2568.0
Beverages,Dubai,2151.0
Household,Abu Dhabi,1930.0
Electronics,Sharjah,1725.0
Grocery,Abu Dhabi,1658.0
Dairy,Abu Dhabi,1606.0
Personal Care,Abu Dhabi,1465.0
Snacks,Sharjah,1446.0
Beverages,Abu Dhabi,1061.0
Household,Sharjah,1007.0
Grocery,Sharjah,933.0
Dairy,Sharjah,919.0
Personal Care,Sharjah,833.0
Beverages,Sharjah,629.0
