customer_id,total_spend,spend_tier
3845,16599.2,High
1404,16595.94,High
4900,16569.13,High
4184,16497.3,High
1846,16479.98,High
3969,16452.32,High
1962,16419.82,High
1169,16297.95,High
3727,16297.21,High
283,16118.05,High
3378,15956.77,High
3680,15902.12,High
4915,15895.69,High
1343,15842.93,High
559,15835.64,High
2804,15753.24,High
3424,15736.27,High
2360,15687.61,High
3865,15588.36,High
2636,15587.01,High
4510,15572.78,High
4078,15535.38,High
3695,15462.34,High
2771,15435.26,High
2923,15423.04,High
3756,15383.53,High
249,15380.22,High
1966,15242.44,High
467,15235.56,High
3285,15228.81,High
4524,15225.2,High
4742,15211.57,High
3470,15203.78,High
2895,15180.69,High
267,15128.59,High
4396,15114.71,High
3873,15100.5,High
1852,15096.52,High
509,15077.4,High
4227,15044.37,High
1867,15042.93,High
3469,15002.59,High
4337,14995.98,High
701,14960.6,High
2308,14941.9,High
4316,14930.04,High
4377,14929.43,High
705,14894.76,High
414,14854.0,High
702,14849.17,High
2612,14848.53,High
3678,14842.17,High
3794,14804.18,High
1824,14802.3,High
3857,14752.78,High
66,14734.89,High
2166,14694.41,High
4345,14676.82,High
2217,14652.62,High
3317,14646.11,High
2124,14638.13,High
3536,14574.34,High
4248,14571.05,High
3208,14570.63,High
455,14566.64,High
2461,14566.5,High
4955,14553.04,High
348,14551.71,High
3272,14539.51,High
3415,14510.71,High
4079,14502.13,High
4604,14479.49,High
3591,14472.6,High
4840,14457.55,High
3544,14450.02,High
2273,14447.1,High
4442,14441.52,High
4689,14437.54,High
4723,14429.45,High
3172,14426.31,High
4250,14417.05,High
2834,14414.87,High
4221,14413.18,High
4869,14401.0,High
2425,14382.34,High
1888,14381.82,High
132,14381.17,High
1324,14365.71,High
1869,14359.8,High
2625,14355.13,High
394,14354.45,High
2977,14353.75,High
4356,14340.55,High
224,14333.95,High
3084,14333.22,High
4094,14317.78,High
404,14303.19,High
655,14284.54,High
369,14256.23,High
1173,14253.32,High
3856,14242.16,High
3403,14240.97,High
1256,14233.45,High
250,14187.48,High
4563,14184.81,High
1462,14182.91,High
3705,14176.69,High
211,14175.59,High
4587,14175.07,High
1974,14159.03,High
4178,14155.98,High
4949,14147.68,High
4512,14147.34,High
34,14140.53,High
4402,14140.35,High
724,14133.48,High
4968,14120.31,High
2245,14114.05,High
4769,14111.11,High
4969,14100.28,High
456,14099.37,High
4481,14090.15,High
1638,14085.83,High
1642,14085.58,High
3151,14081.82,High
2420,14061.52,High
2161,14029.27,High
3676,14024.94,High
2807,14018.2,High
1096,14016.13,High
1648,14007.97,High
301,14000.64,High
4014,13988.88,High
4546,13984.54,High
2591,13975.78,High
3782,13973.12,High
4890,13972.79,High
4,13960.22,High
4684,13946.99,High
1585,13939.16,High
2604,13938.97,High
1535,13918.85,High
356,13916.67,High
3875,13908.52,High
526,13908.12,High
3448,13907.78,High
743,13896.86,High
1575,13890.51,High
2971,13880.27,High
2568,13868.48,High
4725,13864.27,High
2183,13862.79,High
4560,13862.71,High
884,13852.32,High
2578,13842.59,High
3913,13841.93,High
1327,13839.74,High
243,13826.19,High
273,13823.4,High
