customer_id,total_spend
3845,16599.2
1404,16595.94
4900,16569.13
4184,16497.3
1846,16479.98
3969,16452.32
1962,16419.82
1169,16297.95
3727,16297.21
283,16118.05
3378,15956.77
3680,15902.12
4915,15895.69
1343,15842.93
559,15835.64
2804,15753.24
3424,15736.27
2360,15687.61
3865,15588.36
2636,15587.01
4510,15572.78
4078,15535.38
3695,15462.34
2771,15435.26
2923,15423.04
3756,15383.53
249,15380.22
1966,15242.44
467,15235.56
3285,15228.81
4524,15225.2
4742,15211.57
3470,15203.78
2895,15180.69
267,15128.59
4396,15114.71
3873,15100.5
1852,15096.52
509,15077.4
4227,15044.37
1867,15042.93
3469,15002.59
4337,14995.98
701,14960.6
2308,14941.9
4316,14930.04
4377,14929.43
705,14894.76
414,14854.0
702,14849.17
2612,14848.53
3678,14842.17
3794,14804.18
1824,14802.3
3857,14752.78
66,14734.89
2166,14694.41
4345,14676.82
2217,14652.62
3317,14646.11
2124,14638.13
3536,14574.34
4248,14571.05
3208,14570.63
455,14566.64
2461,14566.5
4955,14553.04
348,14551.71
3272,14539.51
3415,14510.71
4079,14502.13
4604,14479.49
3591,14472.6
4840,14457.55
3544,14450.02
2273,14447.1
4442,14441.52
4689,14437.54
4723,14429.45
3172,14426.31
4250,14417.05
2834,14414.87
4221,14413.18
4869,14401.0
2425,14382.34
1888,14381.82
132,14381.17
1324,14365.71
1869,14359.8
2625,14355.13
394,14354.45
2977,14353.75
4356,14340.55
224,14333.95
3084,14333.22
4094,14317.78
404,14303.19
655,14284.54
369,14256.23
1173,14253.32
3856,14242.16
3403,14240.97
1256,14233.45
250,14187.48
4563,14184.81
1462,14182.91
3705,14176.69
211,14175.59
4587,14175.07
1974,14159.03
4178,14155.98
4949,14147.68
4512,14147.34
34,14140.53
4402,14140.35
724,14133.48
4968,14120.31
2245,14114.05
4769,14111.11
4969,14100.28
456,14099.37
4481,14090.15
1638,14085.83
1642,14085.58
3151,14081.82
2420,14061.52
2161,14029.27
3676,14024.94
2807,14018.2
1096,14016.13
1648,14007.97
301,14000.64
4014,13988.88
4546,13984.54
2591,13975.78
3782,13973.12
4890,13972.79
4,13960.22
4684,13946.99
1585,13939.16
2604,13938.97
1535,13918.85
356,13916.67
3875,13908.52
526,13908.12
3448,13907.78
743,13896.86
1575,13890.51
2971,13880.27
2568,13868.48
4725,13864.27
2183,13862.79
4560,13862.71
884,13852.32
2578,13842.59
3913,13841.93
1327,13839.74
243,13826.19
273,13823.4
3718,13813.66
1104,13809.97
341,13801.73
2015,13799.83
1333,13794.55
586,13785.65
3972,13780.62
229,13776.19
3184,13765.28
1290,13756.73
2261,13743.04
1115,13741.06
337,13740.41
448,13738.91
1688,13738.58
3430,13738.27
3564,13733.17
4691,13731.42
2574,13727.9
1948,13727.84
3435,13718.76
1037,13718.68
1730,13718.62
2267,13718.6
983,13718.28
716,13707.33
1789,13703.03
4245,13701.67
1825,13693.6
540,13693.05
2147,13687.86
3385,13687.14
1538,13687.0
