sku_id,sku_name,month,current_month_revenue,previous_month_revenue,revenue_change
1199,Electronics_Cables_1199,2024-09,11954.28,44141.07,-32186.79
1035,Electronics_Batteries_1035,2022-09,22574.96,53789.5,-31214.54
1199,Electronics_Cables_1199,2021-03,18391.2,49218.12,-30826.92
1173,Electronics_Batteries_1173,2021-03,14231.46,41118.77,-26887.31
1019,Electronics_Cables_1019,2022-03,16101.36,41710.59,-25609.23
1072,Electronics_Chargers_1072,2021-09,23111.22,48711.74,-25600.52
1174,Electronics_Mobile Accessories_1174,2025-09,18063.75,43070.56,-25006.81
1164,Electronics_Cables_1164,2021-03,13344.32,38196.26,-24851.94
1199,Electronics_Cables_1199,2022-09,16322.19,41161.71,-24839.52
1164,Electronics_Cables_1164,2024-09,12951.84,37596.08,-24644.24
1199,Electronics_Cables_1199,2021-09,18391.2,42977.85,-24586.65
1072,Electronics_Chargers_1072,2022-09,10959.96,35283.6,-24323.64
1019,Electronics_Cables_1019,2021-03,20762.28,44912.58,-24150.3
1035,Electronics_Batteries_1035,2024-09,18403.5,42467.65,-24064.15
1037,Electronics_Cables_1037,2024-03,21212.99,45175.39,-23962.4
1072,Electronics_Chargers_1072,2021-03,18107.76,41941.99,-23834.23
1072,Electronics_Chargers_1072,2022-03,19537.32,43363.98,-23826.66
1153,Electronics_Batteries_1153,2021-03,14625.52,38428.27,-23802.75
1174,Electronics_Mobile Accessories_1174,2022-09,15173.55,38872.56,-23699.01
1107,Electronics_Mobile Accessories_1107,2021-03,12861.6,36367.55,-23505.95
1159,Electronics_Batteries_1159,2025-09,10684.8,33779.73,-23094.93
1129,Electronics_Chargers_1129,2023-03,13682.21,36382.25,-22700.04
1164,Electronics_Cables_1164,2025-04,14213.67,36907.06,-22693.39
1164,Electronics_Cables_1164,2022-03,12951.84,35090.17,-22138.33
1072,Electronics_Chargers_1072,2023-03,26923.46,48824.14,-21900.68
1072,Electronics_Chargers_1072,2021-06,23111.22,44576.33,-21465.11
1174,Electronics_Mobile Accessories_1174,2023-09,20953.95,42418.5,-21464.55
1174,Electronics_Mobile Accessories_1174,2021-03,23121.6,44298.06,-21176.46
1078,Electronics_Cables_1078,2021-03,16355.43,37111.49,-20756.06
1164,Electronics_Cables_1164,2023-02,25056.68,45296.52,-20239.84
1035,Electronics_Batteries_1035,2024-02,38080.9,58261.97,-20181.07
1199,Electronics_Cables_1199,2024-02,40839.77,60906.4,-20066.63
1037,Electronics_Cables_1037,2025-09,10178.49,30219.18,-20040.69
1164,Electronics_Cables_1164,2025-09,18642.8,38381.04,-19738.24
1065,Electronics_Chargers_1065,2021-09,10669.8,30341.63,-19671.83
1174,Electronics_Mobile Accessories_1174,2022-03,14210.15,33824.58,-19614.43
1072,Electronics_Chargers_1072,2025-04,16430.4,36036.65,-19606.25
1114,Electronics_Batteries_1114,2022-09,8535.52,28031.76,-19496.24
1114,Electronics_Batteries_1114,2022-02,23434.98,42687.94,-19252.96
1035,Electronics_Batteries_1035,2023-09,20857.3,40016.18,-19158.88
1174,Electronics_Mobile Accessories_1174,2024-09,18545.45,37420.52,-18875.07
1174,Electronics_Mobile Accessories_1174,2021-09,19027.15,37651.66,-18624.51
1078,Electronics_Cables_1078,2024-09,12760.83,31334.44,-18573.61
1001,Electronics_Chargers_1001,2022-09,10367.28,28830.48,-18463.2
1035,Electronics_Batteries_1035,2025-09,16440.46,34819.26,-18378.8
1129,Electronics_Chargers_1129,2021-03,12227.2,30583.09,-18355.89
1183,Electronics_Batteries_1183,2021-03,11104.57,29401.84,-18297.27
1065,Electronics_Chargers_1065,2021-03,15649.04,33913.6,-18264.56
1072,Electronics_Chargers_1072,2024-03,28872.89,46759.62,-17886.73
1107,Electronics_Mobile Accessories_1107,2022-03,7716.96,25572.77,-17855.81
1019,Electronics_Cables_1019,2022-09,15889.5,33706.53,-17817.03
1153,Electronics_Batteries_1153,2025-09,10768.24,28343.22,-17574.98
1159,Electronics_Batteries_1159,2021-03,17986.08,35474.2,-17488.12
1159,Electronics_Batteries_1159,2025-04,9689.36,27025.77,-17336.41
1073,Electronics_Chargers_1073,2021-03,7704.32,25036.03,-17331.71
1037,Electronics_Cables_1037,2021-03,15714.16,33012.14,-17297.98
1173,Electronics_Batteries_1173,2022-09,12432.08,29718.98,-17286.9
1199,Electronics_Cables_1199,2022-03,18850.98,36049.82,-17198.84
1164,Electronics_Cables_1164,2022-09,12951.84,30117.27,-17165.43
